iter	Passed	Remaining
0	136	13544
1	144	7070
2	151	4904
3	159	3835
4	166	3171
5	175	2745
6	182	2420
7	189	2182
8	196	1991
9	205	1847
10	212	1718
11	220	1616
12	227	1520
13	234	1442
14	241	1369
15	248	1306
16	256	1251
17	263	1198
18	270	1154
19	277	1110
20	285	1074
21	292	1037
22	301	1008
23	308	976
24	317	953
25	328	933
26	336	910
27	344	885
28	352	863
29	360	840
30	368	821
31	376	800
32	385	781
33	392	762
34	401	746
35	409	727
36	418	711
37	426	695
38	434	679
39	441	662
40	450	648
41	458	632
42	468	621
43	476	606
44	483	591
45	491	576
46	499	563
47	507	549
48	514	535
49	522	522
50	529	509
51	537	495
52	545	484
53	553	471
54	560	458
55	567	446
56	575	434
57	583	422
58	591	411
59	599	399
60	607	388
61	617	378
62	625	367
63	633	356
64	642	346
65	650	335
66	658	324
67	666	313
68	674	302
69	681	292
70	690	281
71	697	271
72	705	260
73	713	250
74	722	240
75	729	230
76	738	220
77	746	210
78	755	200
79	766	191
80	775	181
81	785	172
82	797	163
83	806	153
84	814	143
85	822	133
86	830	124
87	840	114
88	848	104
89	858	95
90	866	85
91	875	76
92	883	66
93	891	56
94	900	47
95	909	37
96	918	28
97	925	18
98	934	9
99	942	0
